feature,importance
source_ip,0.8465330451711585
source_port,0.14757938925489983
destination_ip,0.0025296795212213707
flow_id,0.0012784487670012476
destination_port,0.0009530201950725522
bwd_packets/s,0.0005807381318476007
init_win_bytes_forward,0.00016490401734877037
bwd_iat_min,7.170549595294801e-05
fwd_iat_min,4.605993284042359e-05
bwd_packet_length_max,2.21433227396385e-05
flow_iat_min,2.027250397446053e-05
fwd_packet_length_mean,1.717454914968072e-05
average_packet_size,1.6180720278738228e-05
active_min,1.6128813742110664e-05
init_win_bytes_backward,1.5667819441492e-05
avg_fwd_segment_size,1.4984842395151862e-05
packet_length_std,1.0659110848624876e-05
bwd_packet_length_mean,9.419878992510242e-06
packet_length_variance,8.459940434135656e-06
flow_iat_std,7.989500817861809e-06
fwd_header_length,7.273165730682427e-06
fwd_packet_length_std,6.327954417148696e-06
bwd_iat_std,6.28183855809133e-06
bwd_packet_length_std,6.205245269851898e-06
subflow_fwd_bytes,5.566691323382199e-06
flow_duration,5.260644201701819e-06
bwd_iat_mean,5.162943429320535e-06
fwd_header_length.1,4.315752089171325e-06
act_data_pkt_fwd,4.312321156248177e-06
bwd_header_length,4.127885452250966e-06
bwd_iat_max,3.995338014108246e-06
fwd_iat_mean,3.78924954521811e-06
active_mean,3.7109063167808707e-06
fwd_iat_std,3.493239398188902e-06
total_length_of_bwd_packets,3.4821521482717798e-06
active_max,3.4312293412444756e-06
flow_iat_mean,3.1886084746743105e-06
psh_flag_count,3.004664834998913e-06
bwd_iat_total,2.6942596974705696e-06
flow_packets/s,2.6322752822383823e-06
total_fwd_packets,1.9750656206146136e-06
flow_bytes/s,1.6413563048812437e-06
fwd_iat_max,1.4376659320924823e-06
total_backward_packets,1.4078032679985368e-06
subflow_bwd_packets,1.2666143855712658e-06
packet_length_mean,1.2541793549408582e-06
bwd_packet_length_min,1.0437589322213824e-06
total_length_of_fwd_packets,8.863491175105718e-07
idle_max,7.545898127802197e-07
subflow_bwd_bytes,7.526028078438914e-07
ack_flag_count,5.082639268983296e-07
fwd_packets/s,4.923237832492271e-07
flow_iat_max,4.814450433235007e-07
max_packet_length,4.258921377426121e-07
min_packet_length,4.0299132232831316e-07
fwd_iat_total,4.0277586562723006e-07
avg_bwd_segment_size,2.542670020577786e-07
subflow_fwd_packets,2.0662028412351316e-07
idle_min,5.827255851337286e-08
active_std,1.194473617320742e-08
fwd_packet_length_max,2.988874115104076e-09
idle_mean,1.9088524725523317e-09
down/up_ratio,1.7233256890018462e-09
min_seg_size_forward,5.091235074258263e-10
fwd_packet_length_min,2.326633116085849e-10
urg_flag_count,1.2595118037496954e-13
fin_flag_count,0.0
fwd_psh_flags,0.0
protocol,0.0
idle_std,0.0
cwe_flag_count,0.0
ece_flag_count,0.0
bwd_psh_flags,0.0
syn_flag_count,0.0
fwd_urg_flags,0.0
bwd_urg_flags,0.0
bwd_avg_bulk_rate,0.0
bwd_avg_packets/bulk,0.0
bwd_avg_bytes/bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets/bulk,0.0
fwd_avg_bytes/bulk,0.0
rst_flag_count,0.0
